,prepost,synapse_id,synapse_x,synapse_y,synapse_z,synapse_size,segment_id
91,postsyn,493915991,1527768,559472,1111520,3216,864691135510518224
92,postsyn,493915973,1527624,560616,1110040,5460,864691135510518224
93,postsyn,469345618,1454520,631624,1092080,2752,864691135510518224
94,postsyn,469701355,1452328,632172,1096120,1328,864691135510518224
95,postsyn,469701227,1451856,630748,1097840,8616,864691135510518224
96,postsyn,488160814,1511168,556792,1105200,2680,864691135510518224
97,postsyn,477536575,1488284,606164,1102760,1648,864691135510518224
98,postsyn,482532171,1495912,566848,1112760,5732,864691135510518224
99,postsyn,482533513,1503056,563280,1106080,3196,864691135510518224
100,postsyn,488903456,1514648,614784,1062720,6744,864691135510518224
101,postsyn,493425460,1535384,514992,1108320,8284,864691135510518224
102,postsyn,488235219,1518704,551072,1105880,2052,864691135510518224
103,postsyn,478550176,1485776,632280,1111520,5440,864691135510518224
104,postsyn,478549612,1483652,632116,1111680,11996,864691135510518224
105,postsyn,485976460,1494680,638064,1070120,8824,864691135510518224
106,postsyn,481443683,1484784,580904,1078320,2808,864691135510518224
107,postsyn,466547506,1453136,639152,1084320,20768,864691135510518224
108,postsyn,478549671,1483832,633344,1111640,3252,864691135510518224
109,postsyn,488232745,1507628,538820,1107040,1596,864691135510518224
110,postsyn,490244027,1518312,608568,1090920,2556,864691135510518224
111,postsyn,471802361,1462584,640880,1109120,2896,864691135510518224
112,postsyn,498932151,1558384,580560,1064760,2036,864691135510518224
113,postsyn,493735037,1526896,523600,1105720,5876,864691135510518224
114,postsyn,471802163,1461736,638872,1109000,13320,864691135510518224
115,postsyn,480829203,1487672,583864,1049640,416,864691135510518224
116,postsyn,480319434,1487752,584464,1072960,3640,864691135510518224
117,postsyn,494839249,1552544,594328,1069240,608,864691135510518224
118,postsyn,477550201,1474464,617600,1107680,3336,864691135510518224
119,postsyn,471732498,1469568,621432,1108800,13888,864691135510518224
120,postsyn,477549696,1472376,608696,1109320,7040,864691135510518224
121,postsyn,477550642,1476464,616120,1107640,1536,864691135510518224
122,postsyn,477550283,1474812,614080,1112600,2312,864691135510518224
123,postsyn,471557115,1469904,625416,1104520,808,864691135510518224
124,postsyn,477550435,1475432,615288,1109080,4780,864691135510518224
125,postsyn,490244032,1518368,605376,1090960,2516,864691135510518224
126,postsyn,471556763,1466912,631160,1100960,3476,864691135510518224
127,postsyn,480860185,1485672,630568,1086720,2432,864691135510518224
128,postsyn,478344942,1476180,581752,1110120,2084,864691135510518224
129,postsyn,488967190,1506616,609328,1074120,1968,864691135510518224
130,postsyn,486009181,1502024,608440,1099040,11972,864691135510518224
131,postsyn,490057920,1505296,606836,1098440,696,864691135510518224
132,postsyn,483596990,1494688,575576,1107600,1344,864691135510518224
133,postsyn,483596884,1494584,577480,1107800,16244,864691135510518224
134,postsyn,488340017,1520184,619632,1056160,14344,864691135510518224
135,postsyn,488967766,1510168,612912,1070200,10812,864691135510518224
136,postsyn,477536108,1486568,613120,1103720,2868,864691135510518224
137,postsyn,466144823,1453624,617960,1101480,6184,864691135510518224
138,postsyn,488967565,1508448,610968,1072080,3596,864691135510518224
139,postsyn,486006520,1490688,607472,1100520,7360,864691135510518224
140,postsyn,477536142,1486744,616232,1103960,9188,864691135510518224
141,postsyn,482469203,1491056,599880,1087000,4832,864691135510518224
142,postsyn,472947422,1457448,631288,1091880,9768,864691135510518224
143,postsyn,485974994,1492576,639560,1069960,6156,864691135510518224
144,postsyn,493425013,1532816,519512,1108440,23500,864691135510518224
145,postsyn,484879971,1497296,547032,1106040,4100,864691135510518224
146,postsyn,494566953,1544808,597664,1075680,19956,864691135510518224
147,postsyn,493752233,1526760,533056,1095560,10360,864691135510518224
148,postsyn,469345575,1454168,634712,1090440,2476,864691135510518224
149,postsyn,494838641,1549672,596576,1072560,1024,864691135510518224
150,postsyn,487802667,1508552,536168,1107880,1708,864691135510518224
151,postsyn,482531995,1494376,555668,1106080,8756,864691135510518224
152,postsyn,488200436,1519952,541392,1103320,6824,864691135510518224
153,postsyn,484879866,1496016,549384,1107040,7912,864691135510518224
154,postsyn,480940365,1487296,561680,1108000,5960,864691135510518224
155,postsyn,469701212,1451792,627720,1099920,2268,864691135510518224
156,postsyn,485836278,1488752,583464,1066720,3064,864691135510518224
157,postsyn,484589878,1490576,582904,1052360,20604,864691135510518224
158,postsyn,484589733,1489592,581576,1047240,4672,864691135510518224
159,postsyn,482547007,1488952,591388,1104720,500,864691135510518224
160,postsyn,477363177,1485808,596316,1108080,5080,864691135510518224
161,postsyn,482546961,1488744,593992,1102280,3788,864691135510518224
162,postsyn,482547009,1489052,592864,1103760,4436,864691135510518224
163,postsyn,482547105,1489712,592160,1104280,1524,864691135510518224
164,postsyn,483706549,1488656,584152,1099440,176,864691135510518224
165,postsyn,482546943,1488576,600520,1100400,2164,864691135510518224
166,postsyn,482547254,1490808,591232,1104280,4068,864691135510518224
167,postsyn,482547490,1492672,588568,1104560,4384,864691135510518224
168,postsyn,477363412,1488164,588160,1113240,1832,864691135510518224
169,postsyn,482737349,1491152,588624,1111760,748,864691135510518224
170,postsyn,482737477,1492056,588368,1110920,4516,864691135510518224
171,postsyn,482738142,1494400,587536,1108800,6076,864691135510518224
172,postsyn,486025462,1488664,579920,1042960,2836,864691135510518224
173,postsyn,481364718,1482920,584696,1087760,11592,864691135510518224
174,postsyn,482546927,1488576,592624,1095440,19016,864691135510518224
175,postsyn,480235900,1485024,584744,1056200,1424,864691135510518224
176,postsyn,483706856,1489980,584880,1098320,1548,864691135510518224
177,postsyn,483707003,1490728,583804,1100120,9312,864691135510518224
178,postsyn,477363400,1488080,586552,1111440,5496,864691135510518224
179,postsyn,478344569,1474784,576984,1110480,6328,864691135510518224
180,postsyn,478344578,1474752,574936,1111880,3832,864691135510518224
181,postsyn,478344507,1474480,581880,1111000,664,864691135510518224
182,postsyn,478880575,1483296,590376,1097120,14040,864691135510518224
183,postsyn,477550251,1474688,617240,1105920,3804,864691135510518224
184,postsyn,478880177,1481488,586632,1101280,928,864691135510518224
185,postsyn,483711518,1497304,605104,1079480,1164,864691135510518224
186,postsyn,477550012,1473488,605992,1109960,828,864691135510518224
187,postsyn,477363062,1483908,598272,1109840,9164,864691135510518224
188,postsyn,477551733,1487120,602272,1105720,2128,864691135510518224
189,postsyn,478881020,1485464,593096,1098880,6080,864691135510518224
190,postsyn,478881082,1485868,592652,1101280,2584,864691135510518224
191,postsyn,482468770,1488800,593552,1093640,3776,864691135510518224
192,postsyn,482547082,1489624,591936,1096600,7584,864691135510518224
193,postsyn,482547194,1490416,591072,1097000,4924,864691135510518224
194,postsyn,482547318,1491552,590396,1098520,8304,864691135510518224
195,postsyn,482547463,1492416,588952,1102160,2656,864691135510518224
196,postsyn,482547532,1492864,587976,1104160,2356,864691135510518224
197,postsyn,482737792,1493164,587744,1105760,4992,864691135510518224
198,postsyn,482737867,1493488,588064,1107480,3436,864691135510518224
199,postsyn,482737900,1493624,588152,1108440,3764,864691135510518224
200,postsyn,488900485,1516096,571264,1104960,5076,864691135510518224
201,postsyn,488967921,1511184,610640,1069160,19720,864691135510518224
202,postsyn,488970199,1517568,613672,1064520,2424,864691135510518224
203,postsyn,482547337,1491480,590880,1103520,348,864691135510518224
204,postsyn,482547067,1489456,593048,1103320,2644,864691135510518224
205,postsyn,471730519,1461120,632872,1112720,4176,864691135510518224
206,postsyn,475477284,1460624,615080,1102560,12932,864691135510518224
207,postsyn,481364417,1481648,584632,1090520,10536,864691135510518224
208,postsyn,471802897,1465152,642152,1107800,13812,864691135510518224
209,postsyn,494838057,1547072,597760,1073920,8824,864691135510518224
210,postsyn,472134056,1465364,577252,1113800,2212,864691135510518224
211,postsyn,472134187,1466248,577752,1113200,5648,864691135510518224
212,postsyn,472134196,1466204,576268,1113560,1992,864691135510518224
213,postsyn,472134749,1469800,582120,1111960,5096,864691135510518224
214,postsyn,472134140,1465904,578764,1113320,2748,864691135510518224
215,postsyn,472134052,1465284,582476,1114000,1968,864691135510518224
216,postsyn,472134224,1466344,582456,1113400,2932,864691135510518224
217,postsyn,471731556,1465308,623712,1110440,23820,864691135510518224
218,postsyn,471731589,1465240,625304,1110320,11996,864691135510518224
219,postsyn,471731402,1464424,631896,1109000,4540,864691135510518224
220,postsyn,471731271,1463872,629240,1108280,4584,864691135510518224
221,postsyn,481443565,1483992,583136,1081960,1060,864691135510518224
222,postsyn,481607436,1487408,638064,1110640,10484,864691135510518224
223,postsyn,484881281,1504544,540616,1106280,464,864691135510518224
224,postsyn,488232403,1506168,541728,1106240,12424,864691135510518224
225,postsyn,482428188,1499640,565200,1104840,10048,864691135510518224
226,postsyn,484879718,1493728,552760,1106520,9304,864691135510518224
227,postsyn,488232227,1505376,541256,1107960,14144,864691135510518224
228,postsyn,475990671,1468744,651376,1088080,160,864691135510518224
229,postsyn,484881142,1504032,540904,1106200,3136,864691135510518224
230,postsyn,484880771,1502268,542788,1106800,27228,864691135510518224
231,postsyn,484195179,1497952,566472,1024200,10936,864691135510518224
232,postsyn,484195154,1497912,568392,1027360,12560,864691135510518224
233,postsyn,493733931,1522600,529824,1107360,1572,864691135510518224
