,segment_id,split_index,nucleus_id,cell_type,syn_density_post,syn_density_head,syn_density_neck,syn_density_shaft,skeletal_length_processed_syn,spine_density,skeletal_length_processed_spine,allen_e_i,allen_e_i_n_nuc,allen_cell_type,allen_cell_type_n_nuc,allen_cell_type_e_i,cell_type_manual
42,864691135385364821,0,621311,excitatory,0.48332039302470187,0.07568191899414878,0.0005219442689251639,0.3648390439786896,1915913.3638142876,0.12440751891918579,1679962.769258061,excitatory,1,6CT,1,excitatory,excitatory
43,864691135388622834,0,266228,excitatory,0.9778042347050508,0.11044964777399245,0.0032485190521762486,0.7330824661077734,1846995.4781334833,0.26465030096955955,1636121.3209041627,excitatory,1,4P,1,excitatory,excitatory
44,864691135390940853,0,402705,excitatory,0.9000406877186818,0.1137748950615038,0.004063389109339422,0.674522592150344,492199.9705622917,0.2519301247790442,492199.9705622917,excitatory,1,6CT,1,excitatory,excitatory
45,864691135425992434,0,342467,excitatory,0.9531617981311223,0.09253507111829995,0.0030339367579770475,0.7200543238932192,1977628.5659957686,0.26028146811593234,1652057.6862908776,excitatory,1,6CT,1,excitatory,excitatory
46,864691135435048946,0,238640,excitatory,0.788426310940618,0.08990259000881536,0.003233906115425013,0.6034468811383074,1546117.8591892673,0.23344768555609527,1405025.7093732664,excitatory,1,6CT,1,excitatory,excitatory
47,864691135445543570,0,234163,excitatory,0.5362618501897489,0.0979118274983575,0.001638691673612678,0.3764894120125128,2440971.6998082716,0.1827697258457758,2292502.2076881556,excitatory,1,5P_NP,1,excitatory,excitatory
48,864691135454211690,0,517537,inhibitory,0.9199650394166707,0.11166931005315993,0.00807820540810093,0.699477550630857,2104427.7956775124,0.2101536720722879,1960470.1451910948,inhibitory,1,BC,1,inhibitory,excitatory
49,864691135462240925,0,238212,excitatory,0.8227147190441659,0.06328574761878199,0.0010460454151864792,0.6412258395093117,1911962.875573102,0.21032983464803645,1635526.4129582266,excitatory,1,6CT,1,excitatory,excitatory
50,864691135463536453,0,550904,excitatory,1.0384053550202401,0.09884513614829306,0.005314254631628659,0.8694120577344487,940865.7180711061,0.2714417861151261,685229.7970111063,excitatory,2,NGC,2,inhibitory,excitatory
51,864691135463679301,0,463473,excitatory,0.82073045856987,0.13655569725779734,0.002513295041554553,0.6165950501947169,3580956.414266912,0.23088528470207215,3274353.3264821144,excitatory,1,5P_IT,1,excitatory,excitatory
52,864691135472209202,0,269705,excitatory,0.5201024372452078,0.08471519729600878,0.0008145692047693151,0.3824402416391935,2455285.5525226947,0.15099948924189469,2390736.563497202,excitatory,1,6CT,1,excitatory,excitatory
53,864691135474036210,0,132795,excitatory,0.6030370536932764,0.07346320039695635,0.0019164313147032091,0.46377637815817657,1565409.6115960197,0.19537374141587613,1381966.6759888323,excitatory,1,6CT,1,excitatory,excitatory
54,864691135474636352,1,465501,excitatory,1.284365251908009,0.13584632472103944,0.007903786165587748,0.8718864113913984,2024346.2645361426,0.3952400898872444,1758424.8606923257,excitatory,2,6CT,2,excitatory,excitatory
55,864691135491199071,0,79451,inhibitory,1.2171172700893964,0.15672468957315513,0.0033345678632586196,0.8747683027948446,899666.8003236641,0.43729738637935905,626575.8921373995,inhibitory,1,5P_PT,1,excitatory,excitatory
56,864691135491433823,0,304634,excitatory,0.26815578032375753,0.06433774216559018,0.001964511211163059,0.1866285650604906,2036129.8918889146,0.10227535657756055,1945727.7555330573,excitatory,1,5P_NP,1,excitatory,excitatory
57,864691135494010256,0,693133,excitatory,0.556463818130874,0.07949483116155344,0.00496842694759709,0.41734786359815557,201270.94763537502,0.1635279313704857,18345.4898185146,excitatory,1,4P,1,excitatory,excitatory
58,864691135502071221,0,669876,excitatory,0.5392238228097818,0.08218220735850018,0.00038765192150235937,0.38842722534536406,2579633.8016962823,0.19788577245088845,2314466.5446509905,excitatory,1,6IT,1,excitatory,excitatory
59,864691135510472656,1,596902,excitatory,0.8537100884572214,0.11293474264344408,0.0019141481803973575,0.6173127881781477,1044851.1878452486,0.26985660516054283,970886.0001560133,excitatory,2,5P_PT,2,excitatory,excitatory
60,864691135534109636,0,273974,excitatory,0.8929639945000266,0.08795126249420887,0.001034720735225987,0.6642907120150835,1932888.683788861,0.24479452560083456,1777000.5229174006,excitatory,1,6CT,1,excitatory,excitatory
61,864691135560561633,0,271181,excitatory,0.9155145910067533,0.07682236000245941,0.0017328351880254004,0.6890907931047676,1731266.7821678752,0.2536149465056226,1510163.3609417768,excitatory,1,6CT,1,excitatory,excitatory
62,864691135567959020,0,300654,inhibitory,1.1382759324426241,0.2295303757325298,0.007031959665018587,0.8205756009102458,5546106.897343376,0.35181546476642395,5221487.3533760505,inhibitory,1,5P_PT,1,excitatory,excitatory
63,864691135571230501,0,463604,excitatory,0.3118025452581,0.10009123721730605,0.006288454694281007,0.1965142091962815,1908258.957628067,0.10954541691393588,1880498.5713080398,excitatory,1,5P_NP,1,excitatory,excitatory
64,864691135614155211,0,337397,excitatory,1.0550591454197513,0.14556854783613093,0.006256527843959781,0.8202308003431273,4794991.846629884,0.29464640844173057,4561399.567392963,excitatory,2,23P,2,excitatory,excitatory
65,864691135639003451,0,207298,excitatory,0.4524914433266404,0.05627431655585121,0.0,0.3594665526934986,870734.6974417435,0.19091001512706232,780472.4120986076,excitatory,1,6IT,1,excitatory,excitatory
66,864691135644709359,0,667902,excitatory,0.5619593456631807,0.10476181767212313,0.0030277981986162753,0.4093583164529205,1651365.0091624449,0.17687520448187222,1492577.7797591586,excitatory,1,5P_IT,1,excitatory,excitatory
67,864691135654033858,1,207888,excitatory,0.929630478739408,0.0852589278843877,0.005136079993035403,0.6902891510639582,973505.0869106537,0.26325286672919734,942060.0165965613,excitatory,2,6CT,2,excitatory,excitatory
68,864691135660488176,0,369364,excitatory,0.2638735259917759,0.04924400309001451,0.0023228303344346468,0.20069254089515345,2152546.368057032,0.07818474088368371,2084805.7838101282,excitatory,1,5P_NP,1,excitatory,excitatory
69,864691135681876164,0,460787,excitatory,2.2020698171484225,0.46958460059013934,0.03794271420631964,1.2489766841493106,2872751.785950127,0.7371420483648596,2479847.682078236,excitatory,1,5P_PT,1,excitatory,excitatory
70,864691135692703679,0,165156,excitatory,0.8525166397702038,0.08409649237841577,0.0036965491155347588,0.6237926632464905,2164180.631708632,0.2588766822519991,1912107.323432671,excitatory,1,5P_IT,1,excitatory,excitatory
71,864691135718461745,0,302096,excitatory,0.843113264408689,0.0816642774477354,0.00281600956716329,0.647118998534124,1775562.14946981,0.26380848224712666,1512460.8450846954,excitatory,1,5P_IT,1,excitatory,excitatory
72,864691135731052180,0,551589,inhibitory,2.0091582207557677,0.3084234110809293,0.038637658091457076,1.1062571579869815,1475244.6917222166,0.583627283271507,1319335.1683008815,inhibitory,1,NGC,1,inhibitory,excitatory
73,864691135739624852,0,560221,excitatory,0.39237937640468507,0.07311416951640094,0.002437138983880032,0.29733095603336385,2051585.9099835914,0.12293246676966117,1691985.8965307355,excitatory,1,5P_NP,1,excitatory,excitatory
74,864691135745821629,0,666299,excitatory,0.8576966994854036,0.10380053953083654,0.0008948322373347978,0.6228032371850193,2235055.820023735,0.24373189393444167,1948862.712763247,excitatory,1,4P,1,excitatory,excitatory
75,864691135748563241,0,560033,inhibitory,1.182184371939523,0.16277295730773667,0.007156684217006826,0.848982469557019,6008369.056974278,0.35087027943640703,5614610.628077006,inhibitory,1,5P_PT,1,excitatory,excitatory
76,864691135753044413,0,669736,excitatory,0.573552250875106,0.13102702282922682,0.0016481386519399599,0.3947292071396204,2426980.275774587,0.19954763059925346,2300202.706599901,excitatory,1,6CT,1,excitatory,excitatory
77,864691135753584333,0,399003,inhibitory,1.3251345848913028,0.24722189818007773,0.012447756504924247,0.9349998367116517,6346525.172527929,0.4059586753896768,5825716.121794549,inhibitory,1,5P_PT,1,excitatory,excitatory
78,864691135753617357,0,588873,inhibitory,1.2059163295256925,0.16493173197691227,0.007893881265697431,0.8083670325915262,5953978.583923825,0.44747672390282595,5629343.081869496,inhibitory,1,5P_PT,1,excitatory,excitatory
79,864691135754540221,0,664465,excitatory,1.1918161167394936,0.19782746035431664,0.005390394015103996,0.8948054065072634,1855151.9558644122,0.3576528404270232,1602112.258680403,excitatory,1,5P_PT,1,excitatory,excitatory
80,864691135756006845,0,668063,inhibitory,0.8330262668806444,0.10816426333527747,0.006457567960315073,0.6505999720017436,619428.246761314,0.20121091660504387,581479.3847873516,inhibitory,1,MC,1,inhibitory,excitatory
81,864691135756250557,0,617502,excitatory,1.8409635117494443,0.3485047499434452,0.04525429818542729,1.1472197859584095,2143442.808516159,0.6807707629836353,1593781.7235933233,excitatory,1,5P_PT,1,excitatory,excitatory
82,864691135759526589,0,759876,excitatory,0.8409394664036984,0.11978498213308494,0.0,0.6062586850817361,409066.30470219906,0.2645180988985373,385606.8844617121,excitatory,1,4P,1,excitatory,excitatory
